GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG3001,AH0001,AH0002,AH0003,AH0004,AH0005,AH0006,AH0007,AH0008,AH0009,AH0010,AH0011,AH0012,AH0013,AH0014,AH0015,AH0016,AH0017,AH0018,AH0019,AH0020,AH0021,AH0022,AH0023,AH0024,AH0025,AH0026,AH0027,AH0028,AH0029,AH0030,AH0031,AH0032,AH0033,AH0034,AH0035,AH0036,AH0037,AH0038,AH0039,AH0040,AH0041,AH0042,AH0043,AH0044,AH0045,AH0046,AH0047,AH0048,AH0049,AH0050,AH0051,AH0052,AH0053,AH0054,AH0055,AH0056,AH0057,AH0058,AH0059,AH0060,AH0061,AH0062,AH0063,AH0064,AH0065,AH0066,AH0067,AH0068,AH0069,AH0070,AH0071,AH0072,AH0073,AH0074,AH0075,AH0076,AH0077,AH0078,AH0079,AH0080,AH0081,AH0082,AH0083,AH0084,AH0085,AH0086,AH0087,AH0088,AH0089,AH0090,AH0091,AH0092,AH0093,AH0094,AH0095,AH0096,AH0097,AH0098,AH0099,AH0100,AH0101,AH0102,AH0103,AH0104,AH0105,AH0106,AH0107,AH0108,AH0109,AH0110,AH0111,AH0112,AH0113,AH0114,AH0115,AH0116,AH0117,AH0118,AH0119,AH0120,AH0121,AH0122,AH0123,AH0124,AH0125,AH0126,AH0127,AH0128,AH0129,AH0130,AH0131,AH0132,AH0133,AH0134,AH0135,AH0136,AH0137,AH0138,AH0139,AH0140,AH0141,AH0142,AH0143,AH0144,AH0145,AH0146,AH0147,AH0148,AH0149,AH0150,AH0151,AH0152,AH0153,AH0154,AH0155,AH0156,AH0157,AH0158,AH0159,AH0160,AH0161,AH0162,AH0163,AH0164,AH0165,AH0166,AH0167,AH0168,AH0169,AH0170,AH0171,AH0172,AH0173,AH0174,AH0175,AH0176,AH0177,AH0178,AH0179,AH0180
"G1800390","1860","Indiana","180","Elkhart","0390","Elkhart",20986,373,331,1506,1349,1476,1421,1309,1269,1269,1191,1897,1750,1360,1172,902,744,587,444,246,202,77,64,13,9,2,0,2,0,1,0,0,1,0,2,1,1,0,0,1,2,3,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800410","1860","Indiana","180","Fayette","0410","Fayette",10225,171,181,639,549,627,660,578,592,550,616,1018,914,622,558,387,395,289,276,166,153,83,78,22,12,0,2,0,0,0,0,2,1,3,5,8,9,1,10,4,5,12,8,4,6,3,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800430","1860","Indiana","180","Floyd","0430","Floyd",20183,355,330,1225,1246,1297,1242,1124,1174,1001,1178,1809,1734,1330,1162,788,731,550,454,219,245,96,86,16,32,1,1,0,0,0,0,10,13,39,57,36,52,45,63,24,49,81,81,54,42,16,21,16,22,7,15,3,3,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800450","1860","Indiana","180","Fountain","0450","Fountain",15566,259,249,1013,1027,1121,1073,970,879,925,886,1525,1342,967,840,601,532,411,327,214,179,53,71,13,13,1,1,0,0,1,0,1,3,4,2,5,7,5,5,4,4,6,7,3,3,1,4,3,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800470","1860","Indiana","180","Franklin","0470","Franklin",19549,309,306,1313,1163,1447,1471,1260,1248,1127,1093,1497,1415,1085,1078,797,759,613,515,337,281,142,123,32,18,3,3,0,1,3,7,2,1,7,4,6,9,10,12,8,6,5,7,3,6,7,1,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800490","1860","Indiana","180","Fulton","0490","Fulton",9422,168,133,705,603,723,704,676,580,587,563,776,722,551,508,392,310,259,185,119,90,26,30,4,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800510","1860","Indiana","180","Gibson","0510","Gibson",14532,233,258,957,976,1050,1000,941,881,829,822,1431,1233,883,730,531,448,332,290,182,119,50,49,13,14,1,1,0,1,2,1,4,5,12,15,21,12,24,25,19,21,27,22,7,9,7,9,10,7,8,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800530","1860","Indiana","180","Grant","0530","Grant",15797,253,234,1112,1030,1201,1211,1140,977,918,936,1272,1232,851,786,556,503,413,322,191,141,50,50,12,15,4,2,0,0,0,0,7,8,23,31,31,35,28,32,17,19,28,26,23,19,10,11,13,8,5,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800550","1860","Indiana","180","Greene","0550","Greene",16041,308,241,1196,1149,1159,1252,1126,1067,949,965,1372,1353,854,763,549,509,401,314,177,138,55,37,16,12,0,0,0,0,0,0,1,1,8,2,5,4,3,5,9,7,6,6,2,3,1,4,3,4,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800570","1860","Indiana","180","Hamilton","0570","Hamilton",17310,296,279,1150,1185,1293,1255,1088,1114,1024,1009,1424,1452,955,884,674,593,412,339,205,161,65,60,22,17,3,1,0,0,0,0,3,8,22,23,31,25,19,29,26,16,33,31,16,20,12,8,12,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
