fips,slaves,urbanicity,prison_rate,blackpop,prison_type,unemp,mhi,pm,rentburd,gini,singpar
09009,0,small/mid,NA,13.517601378103164,Has State,6.2,61758,9.667314006810726,33.9,45.1,10.030040829486516
09011,0,small/mid,NA,7.002495752793196,Has State,5.9,65602,8.477958000789119,30.1,41.1,8.492106172934353
09013,0,suburban,NA,3.947697176646956,Has State,5,81616,8.795822432044803,30.2,38.5,6.633571442105462
09015,0,small/mid,NA,2.455623907108981,Has State,6.3,61303,8.398712320536063,31.1,38.6,10.473216990144225
10001,0.730110775427996,small/mid,NA,26.523271899683166,No Prison,5.4,55678,9.028603636201124,32.2,41.7,11.936787285624495
10003,0.46352902531160467,suburban,NA,25.131510785219525,Has State,4.7,66179,10.115075343611315,29.5,43.1,10.133172038007796
10005,4.528110754685126,small/mid,NA,14.341531595206519,Has State,4.9,54309,8.87412053061751,29.4,42.6,8.743064065318261
12001,54.142371234207964,small/mid,897.21,19.874155183595153,Has State,4.6,47023,8.397378133127397,35.9,51.9,8.400625978090767
12003,19.476439790575917,suburban,867.04,15.535312517148657,Has State,5.6,50883,8.70148854453906,32.7,40.6,11.164021164021165
12005,22.00557103064067,small/mid,1512.68,11.868805644213001,No Prison,5.5,47745,8.786148669661511,31.4,43.1,10.511502863463882
12019,27.11598746081505,suburban,706.86,11.389479178317115,No Prison,5,59244,8.785892757128414,28.7,38.3,11.20611356447117
12021,15.48232063165122,small/mid,551.04,8.117168047675417,No Prison,5.3,62385,6.7429992686494735,32.6,51.1,6.522192470992551
12023,44.40378820490744,rural,1658.38,20.06022172544368,Has State,5.5,43303,8.653215105750157,27.1,41.5,14.060737331347863
12027,29.625292740046838,rural,1142.19,14.56297684379601,Has State,5.8,34380,6.596809617159524,31.3,44.7,11.379057399596553
